Division,Conference,Year,Type,Gender,Race/Ethnicity,N_Athletes
Division I,All,2019,Student-Athletes,Male,White,50029
Division I,All,2019,Student-Athletes,Male,Black,25467
Division I,All,2019,Student-Athletes,Male,Other,20753
Division I,All,2019,Student-Athletes,Female,White,52706
Division I,All,2019,Student-Athletes,Female,Black,12751
Division I,All,2019,Student-Athletes,Female,Other,20952
Division I,Ivy League,2019,Student-Athletes,Male,White,2263
Division I,Ivy League,2019,Student-Athletes,Male,Black,405
Division I,Ivy League,2019,Student-Athletes,Male,Other,1300
Division I,Ivy League,2019,Student-Athletes,Female,White,2216
Division I,Ivy League,2019,Student-Athletes,Female,Black,241
Division I,Ivy League,2019,Student-Athletes,Female,Other,1329
