Division_Subdivision,Sport,Title/Position,Gender_Race/Ethnicity,2012,2013,2014,2015,2016,2017,2018,2019
Division I_FBS_AG,Baseball,Assistant Coach,Female-White,6,4,3,0,0,1,0,0
Division I_FBS_AG,Baseball,Assistant Coach,Male-Black,2,1,1,4,1,0,3,4
Division I_FBS_AG,Baseball,Assistant Coach,Male-Other,9,9,11,8,19,15,11,16
Division I_FBS_AG,Baseball,Assistant Coach,Male-White,120,131,135,145,135,136,137,137
Division I_FBS_AG,Baseball,Head Coach,Male-Other,5,5,4,8,8,8,7,6
Division I_FBS_AG,Baseball,Head Coach,Male-White,50,52,55,55,53,53,54,55
Division I_FBS_AG,Baseball,Student-Athlete,Male-Black,70,72,80,74,90,93,87,102
Division I_FBS_AG,Baseball,Student-Athlete,Male-Other,242,257,288,315,351,359,384,404
Division I_FBS_AG,Baseball,Student-Athlete,Male-White,1673,1755,1792,1879,1801,1791,1796,1812
Division I_FBS_AG,Men's Basketball,Assistant Coach,Female-Black,1,0,3,2,0,0,0,0
Division I_FBS_AG,Men's Basketball,Assistant Coach,Female-White,5,2,2,2,2,2,0,0
Division I_FBS_AG,Men's Basketball,Assistant Coach,Male-Black,80,88,99,101,102,108,112,110
Division I_FBS_AG,Men's Basketball,Assistant Coach,Male-Other,9,8,5,7,11,12,12,16
Division I_FBS_AG,Men's Basketball,Assistant Coach,Male-White,80,84,86,88,85,76,75,76
Division I_FBS_AG,Men's Basketball,Head Coach,Male-Black,10,15,12,14,10,9,11,10
Division I_FBS_AG,Men's Basketball,Head Coach,Male-Other,2,2,1,1,3,5,3,3
Division I_FBS_AG,Men's Basketball,Head Coach,Male-White,46,43,50,51,52,53,51,54
Division I_FBS_AG,Men's Basketball,Student-Athlete,Male-Black,524,526,551,585,573,555,564,528
Division I_FBS_AG,Men's Basketball,Student-Athlete,Male-Other,112,138,158,163,173,184,212,237
Division I_FBS_AG,Men's Basketball,Student-Athlete,Male-White,270,278,292,278,265,275,252,263
Division I_FBS_AG,Men's Cross Country,Assistant Coach,Female-Black,5,2,2,2,3,3,2,1
Division I_FBS_AG,Men's Cross Country,Assistant Coach,Female-Other,2,0,0,1,2,5,2,3
Division I_FBS_AG,Men's Cross Country,Assistant Coach,Female-White,15,22,20,21,15,10,14,22
Division I_FBS_AG,Men's Cross Country,Assistant Coach,Male-Black,18,16,17,9,8,5,10,11
Division I_FBS_AG,Men's Cross Country,Assistant Coach,Male-Other,7,6,6,9,7,7,5,8
Division I_FBS_AG,Men's Cross Country,Assistant Coach,Male-White,59,63,69,60,62,54,57,62
Division I_FBS_AG,Men's Cross Country,Head Coach,Female-Black,0,0,0,1,2,2,1,3
Division I_FBS_AG,Men's Cross Country,Head Coach,Female-White,2,3,3,2,2,6,4,5
Division I_FBS_AG,Men's Cross Country,Head Coach,Male-Black,9,12,13,12,9,8,11,11
Division I_FBS_AG,Men's Cross Country,Head Coach,Male-Other,3,1,3,4,7,5,5,4
Division I_FBS_AG,Men's Cross Country,Head Coach,Male-White,39,38,38,40,38,39,36,39
Division I_FBS_AG,Men's Cross Country,Student-Athlete,Female-Other,0,0,0,2,0,0,0,0
Division I_FBS_AG,Men's Cross Country,Student-Athlete,Female-White,0,0,0,0,0,0,0,12
Division I_FBS_AG,Men's Cross Country,Student-Athlete,Male-Black,58,45,52,50,46,45,49,60
Division I_FBS_AG,Men's Cross Country,Student-Athlete,Male-Other,173,171,172,177,202,185,180,210
