Sport,Total Costs,Registration,Equipment,Travel,Lessons,Camps
Baseball,660,166,121,175,106,100
Basketball,427,86,74,114,61,88
Bicycling,1012,120,504,247,29,106
Cross Country,421,130,87,147,22,31
Field Hockey,2125,409,521,934,86,132
Flag Football,268,74,68,58,27,36
Tackle Football,485,91,110,83,116,76
Golf,925,81,364,238,88,113
Gymnastics,1580,152,111,763,422,104
Ice Hockey,2583,634,389,829,389,302
Lacrosse,1289,411,280,281,68,231
Martial Arts,777,82,86,107,467,25
Skateboarding,380,20,109,81,24,141
Skiing/Snowboarding,2249,168,1174,434,281,56
Soccer,537,158,125,107,66,73
Softball,613,141,159,187,66,53
Swimming,786,116,59,388,154,68
Tennis,1170,115,122,352,471,95
Track and Field,191,51,47,49,20,14
Volleyball,595,242,66,170,53,54
Wrestling,476,102,59,172,62,54
