–,Graduating Class,Event Group,Please rank the most meaningful near-term improvement to elevate the Brown XC/TF [1st],Please rank the most meaningful near-term improvement to elevate the Brown XC/TF [2nd],Please rank the most meaningful near-term improvement to elevate the Brown XC/TF [3rd],Please rank the most meaningful near-term improvement to elevate the Brown XC/TF [4th],Please rank the most meaningful near-term improvement to elevate the Brown XC/TF [5th],Please rank the most meaningful near-term improvement to elevate the Brown XC/TF [6th],Rank the order of importance the following had on your decision to come to Brown (1 to 5) [1st],Rank the order of importance the following had on your decision to come to Brown (1 to 5) [2nd],Rank the order of importance the following had on your decision to come to Brown (1 to 5) [3rd],Rank the order of importance the following had on your decision to come to Brown (1 to 5) [4th],Rank the order of importance the following had on your decision to come to Brown (1 to 5) [5th],Facilities,Community,Academics,Coaching Support,Injury Support,Please leave any feedback that you believe the Brown Athletic Department should address,Please share any additional experiences/sentiments that you believe that University should be aware of (what the team/community means to you)
6/21/2020 21:03:50,2021,Distance ,Brown Stadium,Locker Room,Team Gear,OMAC,Athletic Training Support,Equipment,Academics,Community,Coaching Support,Facilities,Injury Support,2,2,4,4,3,,
6/21/2020 21:07:29,2021,sprints ,Locker Room,OMAC,Team Gear,Athletic Training Support,Equipment,Brown Stadium,Academics,Community,Facilities,Coaching Support,Injury Support,2,5,5,3,1,"The woman locker room is a health hazard. This was addressed at the end of the fall semester because some diseases were spreading from the shower, and this was brought to the attention of the coaches/ brown athletics. However, despite numerous emails they were unable to make any changes. Our health should not be at risk in the locker room, especially considering this is a large discrepancy between the men and women’s locker rooms. ",
6/21/2020 21:07:31,2024,Sprints,Team Gear,Locker Room,OMAC,Athletic Training Support,Brown Stadium,Equipment,Academics,Coaching Support,Community,Facilities,Injury Support,2,5,5,5,4,,
6/21/2020 21:07:41,2021,Distance,Locker Room,Athletic Training Support,Team Gear,Equipment,OMAC,Brown Stadium,Academics,Community,Coaching Support,Facilities,Injury Support,3,5,5,5,1,,
6/21/2020 21:07:42,2021,Sprints,Athletic Training Support,OMAC,Brown Stadium,Equipment,Locker Room,Team Gear,Academics,Community,Coaching Support,Facilities,Injury Support,2,5,5,5,2,,
6/21/2020 21:08:31,2021,Jumps,OMAC,Locker Room,Team Gear,Athletic Training Support,Equipment,Brown Stadium,Coaching Support,Facilities,Academics,Community,Injury Support,1,2,3,4,3,The women’s locker is too small for the amount of women we have on the team. It is filled with mold and constantly dirty. The showers have holes in the ceiling and mold on the wall. The “new” benches they put in peeled off within weeks due to water damage. We have brought this to administrative attention but nothing permanent was done .,
6/21/2020 21:09:10,2022,Sprints,OMAC,Brown Stadium,Locker Room,Team Gear,Equipment,Athletic Training Support,Community,Academics,Coaching Support,Facilities,Injury Support,2,5,5,5,2,"I think Brown Athletic Department should address the poor facilities that the track and field team has access to. Not only is the OMAC and outdoor track in bad shape, but the women’s locker room has had basic sanitary issues in the past that is unacceptable.","The brown community, particularly the brown athletic community, was the main reason why I chose to come to brown and continues to be the reason why I choose to compete for brown year after year. My teammates and coaches support me athletically, academically, socially and emotionally and I don’t know where I’d be without them."
6/21/2020 21:09:33,2024,Jumps/Hurdles,Locker Room,Brown Stadium,Team Gear,Equipment,OMAC,Athletic Training Support,Coaching Support,Academics,Community,Injury Support,Facilities,2,4,5,5,5,,
6/21/2020 21:10:12,2023,Sprints,Team Gear,Locker Room,OMAC,Equipment,Brown Stadium,Athletic Training Support,Community,Academics,Coaching Support,Injury Support,Facilities,1,5,5,4,1,"The trainers are often unavailable and extremely rude. Due to the lack of gear available we are often forced to buy our own that we feel confident wearing to meets. This fact visually separates low and high income students. Our coach has to buy equipment out of his own pocket. The Athletic Department should do more to address sport related mental health issues in student-athletes, especially since Covid. The women’s locker room also had staph in their showers and we feel it was not properly taken care of.","Brown Track and Field contains the very best of the student body. On and off the track we are activists, leaders, and innovators that are invaluable to the overall community of the school."
6/21/2020 21:10:20,2022,Sprints,Team Gear,Athletic Training Support,Brown Stadium,OMAC,Equipment,Locker Room,Community,Academics,Coaching Support,Injury Support,Facilities,2,5,5,5,3,Address the lack of full support for Athletes of Color in an athletic program that lacks true diversity,"Brown did not wow me with what it had to offer me in terms of facilities, gear or support from the university. I came to Brown because of the love and support I saw the Track team had for each other. For Brown to really be the university it claims it wants to be, I think more effort needs to be put into showing support for all athletes and students of color"
